Computing reachable states... 
Iteration 246... 247 sym states passed, 38 waiting 0.00300001s
Iteration 247... 248 sym states passed, 39 waiting 0.00300001s
Iteration 248... 249 sym states passed, 39 waiting 0.00300001s
Iteration 249... 250 sym states passed, 38 waiting 0.00200001s
Iteration 250... 251 sym states passed, 37 waiting 0.00300001s
Iteration 251... 252 sym states passed, 38 waiting 0.00300001s
Iteration 252... 253 sym states passed, 38 waiting 0.00300001s
Iteration 253... 254 sym states passed, 37 waiting 0.00300001s
Iteration 254... 255 sym states passed, 38 waiting 0.00300001s
Iteration 255... 256 sym states passed, 38 waiting 0.00300001s
Iteration 256... 257 sym states passed, 37 waiting 0.00200001s
Iteration 257... 258 sym states passed, 36 waiting 0.00300001s
Iteration 258... 259 sym states passed, 37 waiting 0.00300001s
Iteration 259... 260 sym states passed, 37 waiting 0.00300001s
Iteration 260... 261 sym states passed, 36 waiting 0.00300001s
Iteration 261... 262 sym states passed, 37 waiting 0.00300001s
Iteration 262... 263 sym states passed, 37 waiting 0.00300001s
Iteration 263... 264 sym states passed, 36 waiting 0.00200001s
Iteration 264... 265 sym states passed, 36 waiting 0.00400001s
Iteration 265... 266 sym states passed, 36 waiting 0.00400001s
Iteration 266... 267 sym states passed, 35 waiting 0.00100001s
Iteration 267... 268 sym states passed, 35 waiting 0.00400001s
Iteration 268... 269 sym states passed, 35 waiting 0.00400001s
Iteration 269... 270 sym states passed, 34 waiting 0.00100001s
Iteration 270... 271 sym states passed, 34 waiting 0.00400001s
Iteration 271... 272 sym states passed, 34 waiting 0.00400001s
Iteration 272... 273 sym states passed, 33 waiting 0.00100001s
Iteration 273... 274 sym states passed, 33 waiting 0.00400001s
Iteration 274... 275 sym states passed, 33 waiting 0.00400001s
Iteration 275... 276 sym states passed, 32 waiting 0.00100001s
Iteration 276... 277 sym states passed, 31 waiting 0.00400001s
Iteration 277... 278 sym states passed, 31 waiting 0.00400001s
Iteration 278... 279 sym states passed, 30 waiting 0.00100001s
