Computing reachable states... 
Iteration 270... 259 sym states passed, 8 waiting 0.00300001s
Iteration 271... 260 sym states passed, 7 waiting 0.00800001s
Iteration 272... 261 sym states passed, 7 waiting 0.00300001s
Iteration 273... 262 sym states passed, 6 waiting 0.00600001s
Iteration 274... 263 sym states passed, 6 waiting 0.00300001s
Iteration 275... 264 sym states passed, 6 waiting 0.00300001s
Iteration 276... 265 sym states passed, 6 waiting 0.00300001s
Iteration 277... 266 sym states passed, 6 waiting 0.00300001s
Iteration 278... 267 sym states passed, 6 waiting 0.00400001s
Iteration 279... 268 sym states passed, 6 waiting 0.00300001s
Iteration 280... 269 sym states passed, 6 waiting 0.00300001s
Iteration 281... 270 sym states passed, 6 waiting 0.00400001s
Iteration 282... 271 sym states passed, 6 waiting 0.00400001s
Iteration 283... 272 sym states passed, 5 waiting 0.00300001s
Iteration 284... 273 sym states passed, 5 waiting 0.00400001s
Iteration 285... 274 sym states passed, 5 waiting 0.00400001s
Iteration 286... 275 sym states passed, 5 waiting 0.00300001s
Iteration 287... 276 sym states passed, 5 waiting 0.00300001s
Iteration 288... 277 sym states passed, 5 waiting 0.00300001s
Iteration 289... 278 sym states passed, 5 waiting 0.00300001s
Iteration 290... 279 sym states passed, 5 waiting 0.00300001s
Iteration 291... 280 sym states passed, 6 waiting 0.00400001s
Iteration 292... 281 sym states passed, 7 waiting 0.00500001s
Iteration 293... 282 sym states passed, 8 waiting 0.00500001s
Iteration 294... 283 sym states passed, 9 waiting 0.00400001s
Iteration 295... 284 sym states passed, 10 waiting 0.00500001s
Iteration 296... 285 sym states passed, 12 waiting 0.00600001s
Iteration 297... 286 sym states passed, 13 waiting 0.00500001s
Iteration 298... 287 sym states passed, 14 waiting 0.00600001s
Iteration 299... 288 sym states passed, 15 waiting 0.00600001s
Iteration 300... 289 sym states passed, 16 waiting 0.00700001s
Iteration 301... 290 sym states passed, 17 waiting 0.00600001s
Iteration 302... 291 sym states passed, 18 waiting 0.00700001s
Iteration 303... 292 sym states passed, 19 waiting 0.00700001s
Iteration 304... 293 sym states passed, 21 waiting 0.00800001s
Iteration 305... 294 sym states passed, 22 waiting 0.00700001s
Iteration 306... 295 sym states passed, 22 waiting 0.00400001s
Iteration 307... 296 sym states passed, 22 waiting 0.00500001s
Iteration 308... 297 sym states passed, 22 waiting 0.00700001s
Iteration 309... 297 sym states passed, 21 waiting 0.00900001s
Iteration 310... 298 sym states passed, 21 waiting 0.00400001s
Iteration 311... 299 sym states passed, 21 waiting 0.00500001s
Iteration 312... 300 sym states passed, 21 waiting 0.00700001s
Iteration 313... 300 sym states passed, 20 waiting 0.0100001s
Iteration 314... 301 sym states passed, 20 waiting 0.00400001s
Iteration 315... 302 sym states passed, 20 waiting 0.00500001s
Iteration 316... 303 sym states passed, 20 waiting 0.00600001s
Iteration 317... 303 sym states passed, 19 waiting 0.0100001s
Iteration 318... 304 sym states passed, 19 waiting 0.00500001s
Iteration 319... 305 sym states passed, 19 waiting 0.00500001s
Iteration 320... 306 sym states passed, 19 waiting 0.00700001s
Iteration 321... 306 sym states passed, 18 waiting 0.0100001s
Iteration 322... 307 sym states passed, 18 waiting 0.00500001s
Iteration 323... 308 sym states passed, 18 waiting 0.00500001s
Iteration 324... 309 sym states passed, 18 waiting 0.00600001s
Iteration 325... 310 sym states passed, 18 waiting 0.00800001s
Iteration 326... 310 sym states passed, 17 waiting 0.0110001s
Iteration 327... 311 sym states passed, 17 waiting 0.00500001s
Iteration 328... 312 sym states passed, 16 waiting 0.00300001s
Iteration 329... 313 sym states passed, 15 waiting 0.00300001s
Iteration 330... 314 sym states passed, 17 waiting 0.00500001s
Iteration 331... 315 sym states passed, 17 waiting 0.00600001s
Iteration 332... 316 sym states passed, 16 waiting 0.00300001s
Iteration 333... 317 sym states passed, 17 waiting 0.00500001s
Iteration 334... 318 sym states passed, 17 waiting 0.00500001s
Iteration 335... 319 sym states passed, 16 waiting 0.00300001s
Iteration 336... 320 sym states passed, 17 waiting 0.00500001s
Iteration 337... 321 sym states passed, 18 waiting 0.00600001s
